CoralNet Functional Group,Morpho-Functional - Level 1,Morpho-Functional - Level 2,Genus/family level,Species level,"On CoralNet (Label present, Code adjusted, Existing label, manually Verified)",Label ID,Added to CoralNet,IORL Short code,Short Code,CoralNet Name,CoralNet Existing Name,CoralNet Description,CoralNet Existing Link
Other Invertebrates,Boring sponge,,,,LC,12001,,,BS_Cli_DD,"Cliona sp., dead",-,Boring sponge,https://coralnet.ucsd.edu/label/12001/
Other Invertebrates,Boring sponge,,Cliona sp,Cliona celata,LCE,1147,,,BS_Cli_cel,Cliona celata,Cliona celata,Boring sponge,https://coralnet.ucsd.edu/label/1147/
Other Invertebrates,Boring sponge,,Cliona sp,Cliona parenzani,LCE,7496,,,BS_Cli_par,Cliona parenzani,cliona parenzani,Boring sponge,https://coralnet.ucsd.edu/label/7496/
Other Invertebrates,Boring sponge,,Cliona sp,Cliona viridis,LCE,7030,,,BS_Cli_vir,Cliona viridis,Cliona viridis,Boring sponge,https://coralnet.ucsd.edu/label/7030/
Other Invertebrates,Animal feather,,,,LC,11599,,,AF,Animal feather,-,Animal feather,https://coralnet.ucsd.edu/label/11599/
Other Invertebrates,Animal feather,,Hydrozoa sp,,LCE,1799,,,AF_Hyd,Hydrozoa,Hydrozoa,Animal feather,https://coralnet.ucsd.edu/label/1799/
Other Invertebrates,Animal feather,,,Macrorhynchia philippina,LCE,1252,,,AF_Mac,Macrorhynchia philippina,Macrorhynchia philippina,Animal feather,https://coralnet.ucsd.edu/label/1252/
Other Invertebrates,Animal feather,,,Maasella edwardsi,LC,11600,,,AF_Maa,Maasella edwardsi,-,Animal feather,https://coralnet.ucsd.edu/label/11600/
Hard coral,Coral cup solitary,,,,LC,11601,,,CCS,Coral cup solitary,-,Coral cup solitary,https://coralnet.ucsd.edu/label/11601/
Hard coral,Coral cup solitary,,,,LC,12002,,,CCS_DD,"Coral cup solitary, dead",-,Coral cup solitary,https://coralnet.ucsd.edu/label/12002/
Hard coral,Coral cup solitary,,,Balanophyllia europaea,LCE,10081,,,CCS_Bal,Balanophyllia europaea,Balanophyllia europaea,Coral cup solitary,https://coralnet.ucsd.edu/label/10081/
Hard coral,Coral cup solitary,,,,LC,12003,,,CCS_Bal_DD,"Balanophyllia europaea, dead",-,Coral cup solitary,https://coralnet.ucsd.edu/label/12003/
Hard coral,Coral cup solitary,,,Leptopsammia pruvoti,LCE,3530,,,CCS_Lep,Leptopsammia pruvoti,Leptopsammia pruvoti,Coral cup solitary,https://coralnet.ucsd.edu/label/3530/
Hard coral,Coral cup solitary,,,,LC,12004,,,CCS_Lep_DD,"Leptopsammia pruvoti, dead",-,Coral cup solitary,https://coralnet.ucsd.edu/label/12004/
Hard coral,Coral cup solitary,,Caryophylia sp,,LCE,10911,,,CCS_Car,Caryophyllia sp.,Caryophyllia sp.,Coral cup solitary,https://coralnet.ucsd.edu/label/10911/
Hard coral,Coral cup colonial,,,,LC,11602,,,CCC,Coral cup colonial,-,Coral cup colonial,https://coralnet.ucsd.edu/label/11602/
Hard coral,Coral cup colonial,,,,LC,12005,,,CCC_DD,"Coral cup colonial, dead",-,Coral cup colonial,https://coralnet.ucsd.edu/label/12005/
